Hva er din alder?,I hvilket fylke ligger jobben din?,Hva beskriver best din arbeidssituasjon?,Er du ansatt i det offentlige eller private næringsliv?,"Hvor mange års relevant, formell utdannelse har du?",Hvor mange års relevant arbeidserfaring har du?,Hva jobber du mest med?,Har du en av disse begrepene i stillingstittelen din? ,"Hva er din grunnlønn? (årslønn før skatt, uten eventuelle bonuser eller overtidsbetaling)","Er du organisert? (Altså medlem av en forening som Tekna, El&it, Nito osv)",Pleier du å få mer utbetalt enn grunnlønn på grunn av overtidsbetaling?,Har du en bonusordning hos din nåværende arbeidsgiver?,"Sist du gikk opp i lønn, hvordan skjedde det? (altså en helt ny lønn eller en lønnsjustering utover indeksregulering, sentrale oppgjør osv.)",Alt i alt - er du fornøyd med din egen lønn?,"Om du skal bytte jobb, hvilke goder kan være like viktig som lønn? ","""Skal jeg bytte jobb, skal jeg også opp i lønn.""","""Hvor mye man tjener avhenger av hvor flink man er i jobben sin.""","""Hvor mye man tjener avhenger av hvilken tittel man har.""","""Hvor mye man tjener avhenger av hvor gammel man er."" (Altså uavhengig av erfaring og fartstid i selskapet)","""Utviklere er blant de som tjener mest på arbeidsplassen min.""","""Jeg tror jeg hadde tjent mer nå om det ikke hadde vært for korona."" (for eksempel på grunn av manglende lønnsjustering, mindre aktuelt å bytte jobb, osv)","""Jeg synes man bør tjene mer om man jobber hjemmefra.""","""Jeg synes man bør tjene mindre om man jobber hjemmefra.""","""Jeg tror kjønn i seg selv spiller inn i hvor mye man tjener.""","""Om noen spør, synes jeg det er greit å fortelle kolleger hva jeg tjener.""","""Jeg synes det er greit å spørre kolleger hva de tjener.""","""Vi burde ha mer åpenhet på en arbeidsplass om hva vi tjener."""
25-29 år,Oslo,konsulent,privat,5,4,fullstack,"""...eier...""","690 000,00 kr",Ja,Ja,Ja,Sjefen tilbydde meg mer lønn,Ja,"mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,uenig,uenig,uenig,uenig,uenig,uenig,uenig,enig,uenig,vet ikke/ikke aktuelt
25-29 år,Rogaland,in-house,privat,3,1,fullstack,"""...junior...""","505 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.)",enig,enig,enig,uenig,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,enig,uenig,enig
25-29 år,Oslo,konsulent,ikke oppgitt,3,3,fullstack,"""...lead...""","757 000,00 kr",Nei,Ja,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmahytter/ferieboliger, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.)",vet ikke/ikke aktuelt,uenig,enig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,vet ikke/ikke aktuelt,enig
25-29 år,Oslo,konsulent,privat,5,1,fullstack,"""...senior...""","565 000,00 kr",Ja,Ja,Ja,Sjefen tilbydde meg mer lønn,Nei,"fleksible arbeidstider, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,uenig,enig,enig,uenig,vet ikke/ikke aktuelt,enig,enig,vet ikke/ikke aktuelt,enig
25-29 år,Vestland,in-house,privat,3,4,fullstack,"""...senior...""","600 000,00 kr",Nei,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,uenig,enig,uenig,uenig,uenig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,enig
25-29 år,Oslo,konsulent,privat,3,5,fullstack,"""...senior...""","625 000,00 kr",Nei,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.)",enig,uenig,enig,enig,enig,uenig,enig,uenig,enig,enig,enig,enig
25-29 år,Viken,konsulent,ikke oppgitt,ikke oppgitt,6,fullstack,"""...senior...""","750 000,00 kr",Ja,Nei,Ja,Sjefen tilbydde meg mer lønn,Nei,"mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,uenig,enig,enig,uenig,uenig,uenig,enig,enig,enig
25-29 år,Oslo,konsulent,offentlig,3,3,fullstack,"""...sjef...""","700 000,00 kr",Ja,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",uenig,uenig,uenig,enig,enig,uenig,uenig,uenig,enig,uenig,uenig,uenig
25-29 år,Trøndelag,konsulent,ikke oppgitt,ikke oppgitt,1,fullstack,nei,"530 000,00 kr",Ja,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.)",enig,enig,enig,uenig,vet ikke/ikke aktuelt,enig,uenig,uenig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,enig
25-29 år,Oslo,konsulent,ikke oppgitt,5,2,fullstack,nei,"630 000,00 kr",Ja,Nei,Ja,Sjefen tilbydde meg mer lønn,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",enig,uenig,enig,enig,vet ikke/ikke aktuelt,enig,uenig,uenig,uenig,enig,enig,enig
25-29 år,Oslo,konsulent,privat,5,2,fullstack,nei,"645 000,00 kr",Ja,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,mer fritid (for eksempel flere feriedager),enig,enig,enig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig
25-29 år,Oslo,in-house,privat,3,0,fullstack,"""...junior...""","520 000,00 kr",Ja,Nei,Nei,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote",enig,uenig,enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,enig
25-29 år,Agder,konsulent,privat,3,0,fullstack,"""...junior...""","529 000,00 kr",Ja,Ja,Ja,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmahytter/ferieboliger, firmabil, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",vet ikke/ikke aktuelt,enig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,enig,enig,enig,enig
25-29 år,Oslo,konsulent,privat,5,2,fullstack,"""...junior...""","535 000,00 kr",Ja,Ja,Ja,vet ikke/ikke aktuelt,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,uenig,enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,enig,enig,enig
25-29 år,Rogaland,in-house,ikke oppgitt,4,1,fullstack,nei,"500 000,00 kr",Ja,Nei,Ja,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,uenig,uenig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,uenig,uenig
25-29 år,Vestland,konsulent,ikke oppgitt,ikke oppgitt,0,fullstack,nei,"538 000,00 kr",Nei,Nei,Ja,vet ikke/ikke aktuelt,Ja,"mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), gode ordninger for gratis teknisk utstyr",enig,vet ikke/ikke aktuelt,uenig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,enig,enig,enig
25-29 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,3,fullstack,nei,"550 000,00 kr",Ja,Nei,Ja,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.)",vet ikke/ikke aktuelt,enig,uenig,uenig,enig,uenig,uenig,uenig,uenig,enig,enig,enig
25-29 år,Trøndelag,in-house,privat,5,3,fullstack,nei,"570 000,00 kr",Ja,Nei,Nei,vet ikke/ikke aktuelt,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, gode ordninger for gratis teknisk utstyr",enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,uenig,uenig,vet ikke/ikke aktuelt,enig,enig,enig
25-29 år,Viken,in-house,ikke oppgitt,3,1,fullstack,annet,"479 000,00 kr",Ja,Nei,Nei,annet,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, gode ordninger for gratis teknisk utstyr",enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,enig,enig
25-29 år,Trøndelag,in-house,ikke oppgitt,5,4,fullstack,nei,"590 000,00 kr",Ja,Nei,Nei,Fagforeningen min hjalp meg,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",uenig,enig,uenig,enig,uenig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,uenig,uenig
25-29 år,Oslo,konsulent,privat,5,3,fullstack,"""...senior...""","702 200,00 kr",Ja,Ja,Nei,Fast lønnsjustering,Nei,"mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,uenig,uenig,uenig,uenig,uenig,enig,enig,uenig,uenig
25-29 år,Agder,konsulent,privat,6,2,fullstack,nei,"575 000,00 kr",Nei,Nei,Nei,Fast lønnsjustering,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, gode ordninger for gratis teknisk utstyr",enig,uenig,enig,uenig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,uenig,uenig,vet ikke/ikke aktuelt,enig,enig
25-29 år,Vestfold og Telemark,in-house,privat,6,5,fullstack,"""...senior...""","750 000,00 kr",Ja,Nei,Nei,Jeg ba sjefen om mer lønn,Ja,annet,enig,enig,enig,enig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,uenig,enig
25-29 år,Oslo,in-house,privat,0,6,fullstack,nei,"515 000,00 kr",Nei,Nei,Nei,Jeg ba sjefen om mer lønn,Nei,"sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,uenig,uenig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,enig,enig
25-29 år,Oslo,konsulent,privat,5,3,fullstack,nei,"700 000,00 kr",Nei,Ja,Ja,Jeg ba sjefen om mer lønn,Ja,fleksible arbeidstider,enig,enig,uenig,enig,uenig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,enig,enig
25-29 år,Trøndelag,in-house,ikke oppgitt,ikke oppgitt,5,fullstack,"""...ansvarlig...""","609 000,00 kr",Ja,Ja,Nei,Jeg fikk ny arbeidsgiver,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.)",uenig,enig,enig,uenig,uenig,uenig,uenig,uenig,uenig,enig,uenig,enig
25-29 år,Oslo,in-house,ikke oppgitt,ikke oppgitt,10,fullstack,"""...senior...""","910 000,00 kr",Nei,Nei,Nei,Jeg fikk ny arbeidsgiver,Ja,mer fritid (for eksempel flere feriedager),enig,enig,uenig,uenig,enig,uenig,uenig,uenig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,enig
25-29 år,Oslo,konsulent,privat,5,3,fullstack,nei,"600 000,00 kr",Ja,Ja,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,uenig,enig,uenig,uenig,uenig,enig,uenig,uenig,enig,enig,enig
25-29 år,annet,in-house,privat,3,5,fullstack,nei,"620 000,00 kr",Ja,Ja,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), gode ordninger for gratis teknisk utstyr",enig,enig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt
25-29 år,Oslo,in-house,offentlig,5,4,fullstack,nei,"640 000,00 kr",Ja,Nei,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,uenig,enig,enig,uenig,enig,uenig,uenig,uenig,enig,uenig,enig
25-29 år,Vestfold og Telemark,in-house,ikke oppgitt,ikke oppgitt,3,fullstack,nei,"700 000,00 kr",Ja,Nei,Nei,Jeg fikk ny arbeidsgiver,Nei,mer fritid (for eksempel flere feriedager),enig,enig,enig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,enig,uenig,enig
25-29 år,Oslo,in-house,privat,3,2,fullstack,nei,"709 000,00 kr",Ja,Nei,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,vet ikke/ikke aktuelt,uenig,enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt
25-29 år,Oslo,konsulent,privat,3,5,fullstack,nei,"720 000,00 kr",Nei,Nei,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",uenig,enig,enig,enig,uenig,enig,uenig,uenig,uenig,enig,enig,enig
25-29 år,Viken,in-house,offentlig,3,6,fullstack,nei,"790 000,00 kr",Ja,Nei,Ja,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmahytter/ferieboliger, mer fritid (for eksempel flere feriedager), gode ordninger for gratis teknisk utstyr",uenig,uenig,uenig,uenig,enig,uenig,enig,uenig,enig,enig,uenig,enig
25-29 år,Oslo,in-house,offentlig,4,3,fullstack,"""...junior...""","600 000,00 kr",Nei,Nei,Nei,Jeg fikk ny stilling hos samme arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,uenig,uenig,enig,enig,enig
25-29 år,Oslo,konsulent,privat,5,3,fullstack,"""...lead...""","610 000,00 kr",Nei,Ja,Ja,Jeg fikk ny stilling hos samme arbeidsgiver,Nei,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,enig,enig,enig,uenig,uenig,uenig,enig,enig,enig
25-29 år,Oslo,konsulent,privat,5,3,fullstack,"""...senior...""","700 000,00 kr",Ja,Ja,Nei,Jeg fikk ny stilling hos samme arbeidsgiver,Ja,"mulighet å jobbe hjemmefra/remote, gode ordninger for gratis teknisk utstyr",enig,enig,enig,enig,enig,uenig,enig,uenig,uenig,enig,uenig,enig
25-29 år,Oslo,konsulent,privat,5,1,fullstack,nei,"640 000,00 kr",Nei,Ja,Ja,Jeg fikk ny stilling hos samme arbeidsgiver,Ja,annet,uenig,uenig,enig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,vet ikke/ikke aktuelt,enig,enig,enig
25-29 år,annet,in-house,privat,3,2,fullstack,"""...junior...""","474 500,00 kr",Ja,Ja,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), gode ordninger for gratis teknisk utstyr",enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,uenig,enig
25-29 år,Oslo,konsulent,privat,5,0,fullstack,"""...junior...""","590 000,00 kr",Ja,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmahytter/ferieboliger, spennende arbeidsoppgaver innenfor min kjernekompetanse",vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,uenig,enig,uenig,enig,enig,enig,enig
25-29 år,Oslo,konsulent,privat,5,2,fullstack,"""...junior...""","610 000,00 kr",Ja,Ja,Nei,Sjefen tilbydde meg mer lønn,Ja,"faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,uenig,enig,uenig,enig,uenig,enig
25-29 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,10,fullstack,"""...leder...""","700 000,00 kr",Nei,Nei,Nei,Sjefen tilbydde meg mer lønn,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",uenig,enig,uenig,uenig,enig,uenig,uenig,uenig,uenig,enig,enig,enig
25-29 år,Agder,in-house,ikke oppgitt,ikke oppgitt,4,fullstack,"""...senior...""","600 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.), akkomodere for livsstilen til en tobarnsfar",enig,enig,enig,enig,enig,uenig,uenig,uenig,uenig,uenig,uenig,enig
25-29 år,Trøndelag,in-house,privat,3,6,fullstack,"""...senior...""","660 000,00 kr",Nei,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,enig,enig,enig,uenig,uenig,enig,enig,uenig,enig
25-29 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,3,fullstack,"""...senior...""","705 000,00 kr",Ja,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,uenig,uenig,uenig,uenig,enig,enig,enig
25-29 år,Oslo,konsulent,privat,5,4,fullstack,"""...senior...""","705 000,00 kr",Ja,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,enig,enig,uenig,uenig,uenig,uenig,enig,enig,enig
25-29 år,Trøndelag,konsulent,ikke oppgitt,5,4,fullstack,"""...senior...""","705 000,00 kr",Ja,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",vet ikke/ikke aktuelt,uenig,uenig,uenig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,uenig,enig
25-29 år,Oslo,konsulent,privat,5,4,fullstack,"""...senior...""","780 000,00 kr",Ja,Ja,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,vet ikke/ikke aktuelt
25-29 år,Vestland,konsulent,ikke oppgitt,6,4,fullstack,"""...senior...""","7 600 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.)",enig,vet ikke/ikke aktuelt,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,enig
25-29 år,Oslo,konsulent,privat,3,1,fullstack,nei,"540 000,00 kr",Ja,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), Spesifikke domener og lokasjoner. Som for meg er space og usa.",enig,enig,enig,enig,vet ikke/ikke aktuelt,enig,uenig,uenig,uenig,enig,enig,enig
25-29 år,Trøndelag,in-house,privat,0,2,fullstack,nei,"550 000,00 kr",Nei,Ja,Ja,Sjefen tilbydde meg mer lønn,Nei,"fleksible arbeidstider, gode ordninger for gratis teknisk utstyr",enig,enig,enig,enig,uenig,uenig,uenig,uenig,uenig,uenig,uenig,uenig
25-29 år,Trøndelag,in-house,privat,6,3,fullstack,nei,"550 000,00 kr",Nei,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,vet ikke/ikke aktuelt,enig,enig,uenig,uenig,uenig,uenig,enig,enig,enig
25-29 år,Oslo,in-house,privat,5,2,fullstack,nei,"593 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,uenig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,enig
25-29 år,annet,in-house,offentlig,3,7,fullstack,nei,"602 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,uenig,enig,enig,uenig,uenig,enig,uenig,enig,enig,enig,enig
25-29 år,Oslo,konsulent,privat,3,6,fullstack,nei,"650 000,00 kr",Ja,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.)",enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,enig,vet ikke/ikke aktuelt,enig
25-29 år,Oslo,in-house,privat,5,5,fullstack,nei,"700 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), gode ordninger for gratis teknisk utstyr",uenig,uenig,uenig,enig,uenig,enig,uenig,uenig,enig,enig,enig,enig
25-29 år,Oslo,in-house,ikke oppgitt,ikke oppgitt,8,fullstack,"""...lead...""","659 000,00 kr",Ja,Nei,Ja,vet ikke/ikke aktuelt,Nei,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,uenig,enig,enig,vet ikke/ikke aktuelt,enig,enig,uenig,enig,enig,uenig,enig
25-29 år,Vestland,in-house,ikke oppgitt,ikke oppgitt,2,fullstack,nei,"530 000,00 kr",Ja,Nei,Ja,vet ikke/ikke aktuelt,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,uenig,enig,uenig,enig,uenig,uenig,enig,uenig,enig
25-29 år,Trøndelag,in-house,offentlig,5,2,fullstack,nei,"534 200,00 kr",Ja,Nei,Nei,vet ikke/ikke aktuelt,Nei,"fleksible arbeidstider, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,enig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,enig,enig
25-29 år,Oslo,konsulent,privat,3,1,fullstack,nei,"595 000,00 kr",Nei,Nei,Ja,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,enig,uenig,enig
25-29 år,Trøndelag,in-house,privat,0,10,fullstack,nei,"390 000,00 kr",Nei,Nei,Nei,annet,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,uenig,uenig,enig,uenig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,enig,enig,enig
25-29 år,Agder,in-house,privat,0,14,fullstack,nei,"535 600,00 kr",Nei,Nei,Ja,annet,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote",enig,uenig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,uenig,vet ikke/ikke aktuelt,enig,uenig,enig
