Hva er din alder?,I hvilket fylke ligger jobben din?,Hva beskriver best din arbeidssituasjon?,Er du ansatt i det offentlige eller private næringsliv?,"Hvor mange års relevant, formell utdannelse har du?",Hvor mange års relevant arbeidserfaring har du?,Hva jobber du mest med?,Har du en av disse begrepene i stillingstittelen din? ,"Hva er din grunnlønn? (årslønn før skatt, uten eventuelle bonuser eller overtidsbetaling)","Er du organisert? (Altså medlem av en forening som Tekna, El&it, Nito osv)",Pleier du å få mer utbetalt enn grunnlønn på grunn av overtidsbetaling?,Har du en bonusordning hos din nåværende arbeidsgiver?,"Sist du gikk opp i lønn, hvordan skjedde det? (altså en helt ny lønn eller en lønnsjustering utover indeksregulering, sentrale oppgjør osv.)",Alt i alt - er du fornøyd med din egen lønn?,"Om du skal bytte jobb, hvilke goder kan være like viktig som lønn? ","""Skal jeg bytte jobb, skal jeg også opp i lønn.""","""Hvor mye man tjener avhenger av hvor flink man er i jobben sin.""","""Hvor mye man tjener avhenger av hvilken tittel man har.""","""Hvor mye man tjener avhenger av hvor gammel man er."" (Altså uavhengig av erfaring og fartstid i selskapet)","""Utviklere er blant de som tjener mest på arbeidsplassen min.""","""Jeg tror jeg hadde tjent mer nå om det ikke hadde vært for korona."" (for eksempel på grunn av manglende lønnsjustering, mindre aktuelt å bytte jobb, osv)","""Jeg synes man bør tjene mer om man jobber hjemmefra.""","""Jeg synes man bør tjene mindre om man jobber hjemmefra.""","""Jeg tror kjønn i seg selv spiller inn i hvor mye man tjener.""","""Om noen spør, synes jeg det er greit å fortelle kolleger hva jeg tjener.""","""Jeg synes det er greit å spørre kolleger hva de tjener.""","""Vi burde ha mer åpenhet på en arbeidsplass om hva vi tjener."""
30-34 år,Rogaland,in-house,privat,0,2,fullstack,nei,"816 000,00 kr",Nei,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",uenig,enig,uenig,uenig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,uenig,vet ikke/ikke aktuelt
30-34 år,Vestland,konsulent,ikke oppgitt,ikke oppgitt,1,fullstack,"""...junior...""","540 000,00 kr",Ja,Nei,Nei,vet ikke/ikke aktuelt,Nei,"mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,uenig,uenig,vet ikke/ikke aktuelt,enig,uenig,uenig,enig,enig,enig,enig
30-34 år,Oslo,in-house,ikke oppgitt,ikke oppgitt,0,fullstack,"""...junior...""","590 000,00 kr",Ja,Nei,Nei,vet ikke/ikke aktuelt,Ja,"mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,uenig,enig,vet ikke/ikke aktuelt,uenig,uenig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt
30-34 år,Oslo,konsulent,privat,5,1,fullstack,nei,"545 000,00 kr",Ja,Nei,Nei,vet ikke/ikke aktuelt,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,vet ikke/ikke aktuelt,enig,uenig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,enig,enig,enig
30-34 år,Oslo,in-house,privat,4,0,fullstack,nei,"570 000,00 kr",Ja,Nei,Nei,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote",enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,uenig,uenig,uenig,uenig,enig,uenig,enig
30-34 år,Oslo,in-house,privat,5,5,fullstack,nei,"660 000,00 kr",Nei,Nei,Nei,vet ikke/ikke aktuelt,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,uenig,enig,enig,uenig,uenig,uenig,uenig,uenig,enig
30-34 år,Oslo,konsulent,privat,5,5,fullstack,"""...senior...""","725 000,00 kr",Ja,Ja,Ja,annet,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,enig,uenig,uenig,uenig,enig,uenig,enig,enig,enig,enig
30-34 år,annet,in-house,ikke oppgitt,ikke oppgitt,5,fullstack,"""...senior...""","825 000,00 kr",Ja,Ja,Nei,annet,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,uenig,uenig,uenig,uenig,uenig,uenig,enig,enig,uenig,enig
30-34 år,Vestland,in-house,ikke oppgitt,ikke oppgitt,4,fullstack,nei,"503 000,00 kr",Ja,Nei,Nei,annet,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), trening i arbeidstida",vet ikke/ikke aktuelt,enig,enig,uenig,uenig,enig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,enig,enig,enig
30-34 år,Vestland,konsulent,offentlig,3,2,fullstack,nei,"551 700,00 kr",Ja,Ja,Nei,annet,Ja,"fleksible arbeidstider, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",uenig,enig,uenig,enig,uenig,enig,uenig,uenig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt
30-34 år,Vestland,in-house,offentlig,5,4,fullstack,nei,"580 000,00 kr",Ja,Nei,Nei,Fagforeningen min hjalp meg,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",enig,enig,uenig,uenig,vet ikke/ikke aktuelt,enig,uenig,uenig,enig,uenig,uenig,uenig
30-34 år,Vestland,in-house,ikke oppgitt,ikke oppgitt,9,fullstack,nei,"660 000,00 kr",Ja,Nei,Nei,Fagforeningen min hjalp meg,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote",enig,enig,uenig,uenig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,uenig,enig,uenig,uenig,uenig
30-34 år,Oslo,in-house,privat,2,13,fullstack,"""...ansvarlig...""","750 000,00 kr",Nei,Nei,Nei,Jeg ba sjefen om mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",enig,enig,enig,uenig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,uenig,uenig,enig
30-34 år,Oslo,in-house,offentlig,1,8,fullstack,"""...senior...""","813 400,00 kr",Nei,Nei,Nei,Jeg ba sjefen om mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",enig,vet ikke/ikke aktuelt,enig,uenig,enig,uenig,uenig,uenig,enig,enig,enig,enig
30-34 år,Vestland,konsulent,privat,5,5,fullstack,nei,"725 000,00 kr",Ja,Nei,Ja,Jeg ba sjefen om mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote",enig,enig,enig,uenig,enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,enig
30-34 år,Rogaland,in-house,ikke oppgitt,ikke oppgitt,9,fullstack,"""...lead...""","813 200,00 kr",Ja,Ja,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,uenig,enig,uenig,enig,uenig,uenig,enig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt
30-34 år,Oslo,in-house,privat,4,6,fullstack,"""...leder...""","640 000,00 kr",Nei,Nei,Nei,Jeg fikk ny arbeidsgiver,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmahytter/ferieboliger, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",uenig,enig,enig,uenig,enig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,enig
30-34 år,Rogaland,konsulent,ikke oppgitt,ikke oppgitt,7,fullstack,"""...senior...""","635 000,00 kr",Ja,Nei,Ja,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,enig,uenig,enig,enig,uenig,vet ikke/ikke aktuelt,uenig,uenig,enig
